area_code,measure_a,measure_b
E02000462,70.1,16.83032523
E02000463,71.8,19.37885875
E02000464,73.3,28.93272726
E02000465,69.6,28.40643023
E02000466,74.9,23.8243401
E02000467,67.3,39.5210024
E02000468,76.3,19.32032091
E02000469,71.4,27.90097605
E02000470,80.1,12.54507888
E02000471,84.7,9.877744047
E02000472,79,12.86092904
E02000473,82.2,10.98426842
E02000474,74.9,19.71408499
E02000475,82.8,11.10619764
E02000476,71.6,24.44453632
E02000477,84.7,7.530689976
E02000478,88,8.183281171
E02000479,72.2,17.73121671
E02000480,70.9,20.27139518
E02000481,85.6,10.0844147
E02000482,89.3,4.255190535
E02000483,83,14.03330857
E02000484,83.3,11.67679557
E02000485,83.4,10.01195161
E02000486,83.6,9.982827413
E02000487,89.3,5.735804124
E02000488,86.6,7.570462318
E02000489,78.4,16.10463743
E02000490,78,16.42692669
E02000491,72.9,27.16120471
E02000492,81.4,14.37871019
E02000493,72,22.68113882
E02000494,82.4,10.10661119
E02000495,74.5,11.82918988
E02000496,81.7,19.60660974
E02000497,81.6,14.29750384
E02000498,84.7,11.36495012
E02000499,85.2,7.166763416
E02000500,83.5,7.238890311
E02000501,84.4,8.764077151
E02000502,79.2,8.720309584
E02000503,83.8,8.01256469
E02000504,87.3,6.065078778
E02000506,84.7,8.406718039
E02000507,79.4,11.40305413
E02000508,67.5,14.74213281
E02000509,58.5,15.67059119
E02000510,77.2,15.97284548
E02000511,76.8,15.61196689
E02000512,72.3,25.67857811
E02000513,69.6,29.06961499
E02000514,71.2,21.02076838
E02000515,69.8,25.96812754
E02000516,70.7,22.52729635
E02000517,70.4,26.90824216
E02000518,74.5,27.76235177
E02000519,71.2,30.21653002
E02000520,68.5,26.35636716
E02000521,68.5,28.08770321
E02000522,70.5,24.4800814
E02000523,67.6,20.60353534
E02000524,57,23.92614079
E02000525,68.4,23.33353612
E02000526,75.4,10.52858075
E02000528,70.6,31.21370738
E02000529,72,22.90753357
E02000530,69.3,33.26754316
E02000531,73.1,22.93878103
E02000532,75.7,14.99807795
E02000533,76.4,15.51448368
E02000534,72.2,13.7221524
E02000535,70.6,19.51728331
E02000536,69,20.89095451
E02000537,64.8,16.15282646
E02000538,68.8,22.20265696
E02000539,74.6,20.98894034
E02000540,67.6,20.83967637
E02000541,65.8,24.00356795
E02000542,64.5,24.03569806
E02000543,62.3,21.48257706
E02000544,74.4,14.27977621
E02000545,73.8,25.57655794
E02000546,69.6,21.02405941
E02000547,69.9,20.50548811
E02000548,70.8,27.05131407
E02000549,70,22.36303133
E02000550,67.7,26.45205353
E02000551,72,31.84457972
E02000552,68.9,17.76589065
E02000553,76.6,21.70560829
E02000554,65.7,36.66239346
E02000555,69.4,26.46300453
E02000556,65.9,28.72032586
E02000557,68.8,32.96260871
E02000558,61,41.07389715
E02000559,72,19.86610309
